created_at,text
2021-12-04 4:18:31,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:18:31,RT @tays_version_13: Crazy how Olivia Rodrigo just stepped onto the music scene and we already have to make a hashtag to protect this poor…
2021-12-04 4:18:30,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:18:12,RT @Mr___News: Billie Ellish and Olivia Rodrigo are going to be doing some voice acting for an upcoming animated Disney movie soon. It won'…
2021-12-04 4:18:05,I HATE OLIVIA RODRIGO LIKE SO SO MUCH
2021-12-04 4:18:05,RT @PopCrave: Olivia Rodrigo shares a performance of “drivers license” with a rock arrangement from her Austin City Limits set in October.
2021-12-04 4:17:27,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:17:13,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:17:07,"RT @AP0CALPYTIC: people disappoint, olivia rodrigo’s music doesn't."
2021-12-04 4:16:31,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:16:28,RT @PopCrave: Joshua Bassett says it felt “impossible” and like a “losing game” to defend himself in the wake of the “drivers license” medi…
2021-12-04 4:16:11,good 4 u | Olivia Rodrigo | good 4 u
2021-12-04 4:16:08,RT @naleymers: i don’t think it’s occurred to some of you that olivia rodrigo and joshua basset’s personal lives are none of our business a…
2021-12-04 4:15:52,"usab, twenty-four by olivia rodrigo
#SPCBiradaAlphaModernas
#SPCOnwards2021
#SPCNursesDay2021
@spcbsnfratsor"
2021-12-04 4:15:43,"RT @ketchyyyyyy_: Juri @RocketPunch covering three songs in:
1. Korean - To My Youth (BOL4)
https://t.co/bXXr5dRxQk
2. Japanese - Grand Esc…"
2021-12-04 4:15:28,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:15:20,RT @hoefornetflix: i just think olivia rodrigo and joshua bassett should settle their problems with a rap battle
2021-12-04 4:15:09,RT @naleymers: i don’t think it’s occurred to some of you that olivia rodrigo and joshua basset’s personal lives are none of our business a…
2021-12-04 4:15:07,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:15:01,Now play song Dejavu by Olivia Rodrigo https://t.co/gDf0FR49MG
2021-12-04 4:14:45,RT @naleymers: i don’t think it’s occurred to some of you that olivia rodrigo and joshua basset’s personal lives are none of our business a…
2021-12-04 4:14:45,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:14:32,RT @jelousyliv: ‘SOUR’ being named the best album of 2021 by rolling stone?! olivia rodrigo keeps winning https://t.co/Gwlc3ng795
2021-12-04 4:14:22,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:14:19,olivia rodrigo makes music for people who follow the speed limit
2021-12-04 4:14:19,Im soo confused between olivia rodrigo and joshua basset .. i love olivia but then there's sabrina too also those n… https://t.co/2ueJYtrZdS
2021-12-04 4:14:15,"RT @billboardlatin: .@sanbenito was the most-streamed artist globally on Spotify this year, with the Puerto Rican rapper drawing over 9.1 b…"
2021-12-04 4:14:05,RT @jelousyliv: ‘SOUR’ being named the best album of 2021 by rolling stone?! olivia rodrigo keeps winning https://t.co/Gwlc3ng795
2021-12-04 4:14:01,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:14:00,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:13:23,RT @PopCrave: Olivia Rodrigo shares a performance of “drivers license” with a rock arrangement from her Austin City Limits set in October.
2021-12-04 4:12:39,"RT @PopBase: Olivia Rodrigo stuns in new set of Instagram photos.

“the girls r girling” https://t.co/6zq79UWzjy"
2021-12-04 4:12:35,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:12:28,RT @tays_version_13: Crazy how Olivia Rodrigo just stepped onto the music scene and we already have to make a hashtag to protect this poor…
2021-12-04 4:12:00,I shade drowning in Olivia Rodrigo but I love hella cheugy new workout
2021-12-04 4:11:50,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:11:29,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:10:52,RT @darlinglivs: thinking about olivia rodrigo and alanis morissette’s rolling stone interview today https://t.co/bDf506GzyG
2021-12-04 4:10:46,RT @fizah_muh: My toxic trait is that I want Olivia Rodrigo and Joshua Basset to get back together
2021-12-04 4:10:43,Kendall predicted Olivia Rodrigo https://t.co/w1OufbF4fT
2021-12-04 4:10:06,RT @darlinglivs: thinking about olivia rodrigo and alanis morissette’s rolling stone interview today https://t.co/bDf506GzyG
2021-12-04 4:09:56,"RT @tayIorscomet: in another news, SOUR by Olivia Rodrigo is crowned the best album of 2021 by @RollingStone https://t.co/Zf82I0qUy5"
2021-12-04 4:09:44,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:09:42,RT @juliabroadleyx: I want the 10 min version of traitor by Olivia rodrigo
2021-12-04 4:09:31,Ooh this is spicy and it’s def. giving response to Olivia Rodrigo 👀 https://t.co/OcsNhlkMOM
2021-12-04 4:09:06,crisis by joshua bassett it's perfect answer for driver license by olivia rodrigo and I like his song more than driver license lmao
2021-12-04 4:09:06,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:08:42,"RT @WhiskeyRiff: The #1 album of 2021.

@MorganWallen #Billboard200 
https://t.co/Z0ErJVd8co"
2021-12-04 4:08:19,"RT @Spicytraitor: Olivia Rodrigo:
         😐
        ≤))≥
         / \ 
       /     \                    Me:
     /         \…"
2021-12-04 4:08:04,RT @PopCrave: Joshua Bassett says it felt “impossible” and like a “losing game” to defend himself in the wake of the “drivers license” medi…
2021-12-04 4:07:59,"RT @mjdiorr: Berlin criying at the bar while  ""Traitor by Olivia Rodrigo"" playing 

 #MoneyHeist5 https://t.co/04mwOlbC4N"
2021-12-04 4:07:35,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:07:24,RT @FTMAS0N: olivia rodrigo &amp; joshua bassett just need to get coffee and talk things out bc damn
2021-12-04 4:07:24,apple music shows my top played songs. lmao for 2020 i only listens to spanish music and 2021 was olivia rodrigo an… https://t.co/pafsRIFuY6
2021-12-04 4:07:03,"RT @ReggaetonBr: Artistas mais reproduzidos no Spotify Global em 2021 

1. Bad Bunny
2. Taylor Swift
3. BTS
4. Drake
5. Justin Bieber
6. Th…"
2021-12-04 4:07:00,I shade busy thinking ‘bout Olivia Rodrigo but We miss more than your skincare routine
2021-12-04 4:06:48,RT @AlyRuth_: it's the vibe I get from joshua bassett and olivia rodrigo with their songs driver's license and crisis https://t.co/PEHAQcHz…
2021-12-04 4:06:23,Mia Ramos performs an incredible cover of “Traitor” by Olivia Rodrigo! #traitor #OliviaRodrigo https://t.co/IH5U2AVhFY
2021-12-04 4:06:18,RT @Daisylivvies: OMGG OLIVIA RODRIGO VOICE ACTING??? https://t.co/KZdZqxxzdO
2021-12-04 4:06:15,RT @hoefornetflix: i just think olivia rodrigo and joshua bassett should settle their problems with a rap battle
2021-12-04 4:06:01,"RT @mslizzieforbes: It took Olivia Rodrigo more than 8 months to say ‘don’t send death threats’.
Joshua Bassett and Sabrina Carpenter have…"
2021-12-04 4:05:42,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:05:33,"@kichioa a marina con ""Bubblegum bitch"" a Olivia Rodrigo con la d ""jealousy, jealousy"" a XYLØ con ""ordinary"" y a th… https://t.co/s156dQlnhx"
2021-12-04 4:05:32,"*Olivia Rodrigo voice* GOD, it’s Brutal out here https://t.co/Oo3nHBu9ic"
2021-12-04 4:05:21,@rodriqohoe @nojamsrodrigo @oliiviapink play traitor by olivia rodrigo
2021-12-04 4:05:19,"@christicarras Olivia Rodrigo reporter, HSM correspondent. Love it. This was a fun read!"
2021-12-04 4:05:11,RT @SaintEverlore: the demonization of olivia rodrigo is reminiscent to the demonization of taylor during the speak now era with john mayer…
2021-12-04 4:05:05,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:05:02,"RT @TayliviaTeam: 🎧| @Olivia_Rodrigo on Most Streamed Female Artists on Spotify 

11/30: #7 (=) 10.9M 
12/01: #7 (=) 13.1M 
12/02: #7 (=) 1…"
2021-12-04 4:05:01,"RT @hqrodrigo: just olivia rodrigo holding the #1 album of the year, no biggie https://t.co/OS6JSD6WpM"
2021-12-04 4:04:44,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:04:43,"RT @RollingStone: At 18, Olivia Rodrigo is already a killer songwriter who’s mastered all the tricks. Read why ‘Sour’ topped our list of th…"
2021-12-04 4:04:06,"RT @CarineK: Twitter isn't the real world. We are just a very loud minority. In the real, nobody cares about Joshua. People barely know of…"
2021-12-04 4:04:04,"RT @mslizzieforbes: It took Olivia Rodrigo more than 8 months to say ‘don’t send death threats’.
Joshua Bassett and Sabrina Carpenter have…"
2021-12-04 4:03:59,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:03:56,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:03:27,Thank you Olivia Rodrigo for spending 162 minutes with me this year on @Spotify. You are my #1. #SpotifyWrapped https://t.co/9Dsp6KGB6Q
2021-12-04 4:03:21,"@Swiftsbeatles Olivia Rodrigo deserves, but Taylor as well"
2021-12-04 4:03:11,RT @naleymers: i don’t think it’s occurred to some of you that olivia rodrigo and joshua basset’s personal lives are none of our business a…
2021-12-04 4:03:04,my olivia rodrigo sour album case is here ksjdksks its soooo coool
2021-12-04 4:02:42,"RT @DailyRodrigo: 🏆 | @RollingStone named SOUR the best album of the year! 

“With Sour, Olivia dropped a greatest-hits album on her first…"
2021-12-04 4:02:37,"RT @ringhrry: hi im not new to stan twt but i made a new acc also ifb if u wanna be moots :)
my stans:
-louis tomlinson 
-harry styles 
-ta…"
2021-12-04 4:02:36,Thank you Olivia Rodrigo for leaving out the line “and I don’t believe you say I did nothing wrong” because that would’ve broke me
2021-12-04 4:02:35,RT @colourmeblur: you can enjoy olivia rodrigo and joshua bassett and sabrina carpenter at the same time and that’s fine !!!! just grow up…
2021-12-04 4:02:32,So Amiyah and her friend from school are having her first sleepover.  They are jamming to Olivia Rodrigo and I'm je… https://t.co/swhAnyumlE
2021-12-04 4:02:14,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:02:07,"RT @remswift13: hi im not new but im a flop. rt if u like 

sabrina carpenter 
madison beer
ariana grande
taylor swift
joshua basset
olivia…"
2021-12-04 4:02:05,RT @PopCrave: Olivia Rodrigo shares a performance of “drivers license” with a rock arrangement from her Austin City Limits set in October.
2021-12-04 4:01:39,"RT @b4ssetts: joshua bassett’s feelings matter!!
sabrina carpenter’s feelings matter!!
olivia rodrigo’s feeling matter !! 

ALL ARE TRUE !!…"
2021-12-04 4:01:36,@Ashesh4398 @mslizzieforbes Well to be honest that line career move? It is not predicted that Olivia rodrigo would… https://t.co/GQElVGYz1Q
